INSTITUCIÓN EDUCATIVA,SECTOR,AÑO GRADUACIÓN,ESTRATO 0,ESTRATO 1,ESTRATO 2,ESTRATO 3,ESTRATO 4,ESTRATO 5,ESTRATO 6,TOTAL
BTO A DISTANCIA PARA JOVENES Y ADULTOS - UNAB,NO OFICIAL,2013,0,0,1,1,0,0,0,2
CENT EDUC ESC BRISAS DEL GUAYURIBA,OFICIAL,2013,0,1,0,0,0,0,0,1
COL NSTRA SRA DE LA SABIDURIA,NO OFICIAL,2013,0,1,21,16,2,0,0,40
COL SANTO DOMINGO SAVIO,NO OFICIAL,2013,0,2,14,9,2,0,0,27
COL VEINTE DE JULIO,OFICIAL,2013,0,178,72,6,0,0,0,256
COL. LAS ACACIAS - PENITENCIARIA,NO OFICIAL,2013,0,29,0,0,0,0,0,29
COLEGIO CERVANTES SAAVEDRA,NO OFICIAL,2013,0,11,12,1,1,0,0,25
IE BASICA SANTA TERESITA,OFICIAL,2013,0,14,5,0,0,0,0,19
IE CAMPESTRE SAN JOSE,OFICIAL,2013,0,8,11,3,0,0,0,22
IE JUAN ROZO,OFICIAL,2013,0,36,54,21,1,0,0,112
IE LUIS CARLOS GALAN SARMIENTO,OFICIAL,2013,1,44,56,12,0,0,0,113
IE NORMAL SUPERIOR DE ACACIAS,OFICIAL,2013,1,32,80,14,0,0,0,127
IE PABLO EMILIO RIVEROS,OFICIAL,2013,4,61,98,52,2,0,0,217
INST EDUC GABRIELA MISTRAL,OFICIAL,2013,0,11,15,7,1,0,0,34
INST EDUC MARIA MONTESSORI,OFICIAL,2013,1,13,25,11,2,0,0,52
INST UNID EDUC DINAMARCA,OFICIAL,2013,1,25,3,0,0,0,0,29
INSTITUCION EDUCATIVA COFREM - ACACIAS,NO OFICIAL,2013,0,5,17,5,0,0,0,27
NUCLEO ESCOL SAN ISIDRO DE CHICHIMENE,OFICIAL,2013,0,33,7,2,0,0,0,42
IE UNAD (REGIMEN ESPECIAL),NO OFICIAL,2013,0,0,0,0,0,0,0,0
LIC INF MI PEQUEÃ‘O MUNDO,NO OFICIAL,2013,0,0,0,0,0,0,0,0
INSTITUCION EDUCATIVA LAS ACACIAS,NO OFICIAL,2013,0,0,0,0,0,0,0,0
BTO A DISTANCIA PARA JOVENES Y ADULTOS - UNAB,NO OFICIAL,2014,0,0,0,0,0,0,0,0
CENT EDUC ESC BRISAS DEL GUAYURIBA,OFICIAL,2014,0,0,0,0,0,0,0,0
COL NSTRA SRA DE LA SABIDURIA,NO OFICIAL,2014,0,1,8,18,4,0,0,31
COL SANTO DOMINGO SAVIO,NO OFICIAL,2014,0,0,0,0,0,0,0,0
COL VEINTE DE JULIO,OFICIAL,2014,0,121,74,22,0,0,0,217
COL. LAS ACACIAS - PENITENCIARIA,NO OFICIAL,2014,2,4,0,0,0,0,0,6
COLEGIO CERVANTES SAAVEDRA,NO OFICIAL,2014,0,4,5,3,1,0,0,13
IE BASICA SANTA TERESITA,OFICIAL,2014,0,16,8,2,0,0,0,26
IE CAMPESTRE SAN JOSE,OFICIAL,2014,1,10,15,4,0,0,0,30
IE JUAN ROZO,OFICIAL,2014,0,25,62,19,0,0,0,106
IE LUIS CARLOS GALAN SARMIENTO,OFICIAL,2014,2,60,55,5,1,0,0,123
IE NORMAL SUPERIOR DE ACACIAS,OFICIAL,2014,3,43,106,14,0,0,0,166
IE PABLO EMILIO RIVEROS,OFICIAL,2014,0,46,80,28,2,0,0,156
INST EDUC GABRIELA MISTRAL,OFICIAL,2014,0,9,11,8,2,0,0,30
INST EDUC MARIA MONTESSORI,OFICIAL,2014,0,17,29,17,0,0,0,63
INST UNID EDUC DINAMARCA,OFICIAL,2014,0,25,1,0,0,0,0,26
INSTITUCION EDUCATIVA COFREM - ACACIAS,NO OFICIAL,2014,0,0,0,0,0,0,0,0
NUCLEO ESCOL SAN ISIDRO DE CHICHIMENE,OFICIAL,2014,0,12,7,2,0,0,0,21
IE UNAD (REGIMEN ESPECIAL),NO OFICIAL,2014,0,0,0,0,0,0,0,0
LIC INF MI PEQUEÃ‘O MUNDO,NO OFICIAL,2014,0,0,0,0,0,0,0,0
INSTITUCION EDUCATIVA LAS ACACIAS,NO OFICIAL,2014,0,0,0,0,0,0,0,0
BTO A DISTANCIA PARA JOVENES Y ADULTOS - UNAB,NO OFICIAL,2015,0,0,0,0,0,0,0,0
CENT EDUC ESC BRISAS DEL GUAYURIBA,OFICIAL,2015,0,0,0,0,0,0,0,0
COL NSTRA SRA DE LA SABIDURIA,NO OFICIAL,2015,0,0,16,7,1,0,0,24
COL SANTO DOMINGO SAVIO,NO OFICIAL,2015,0,1,8,13,3,1,0,26
COL VEINTE DE JULIO,OFICIAL,2015,0,109,92,19,0,0,0,220
COL. LAS ACACIAS - PENITENCIARIA,NO OFICIAL,2015,8,77,2,0,0,0,0,87
COLEGIO CERVANTES SAAVEDRA,NO OFICIAL,2015,0,17,16,4,0,0,0,37
IE BASICA SANTA TERESITA,OFICIAL,2015,0,25,9,4,0,0,0,38
